SZA,Friday
"TYLER, THE CREATOR",Thursday
DEFTONES,Saturday
TATE MCRAE,Saturday
LAUFEY,Friday
CONAN GRAY,Sunday
RENEÉ RAPP,Friday
LIZZY MCALPINE,Thursday
ZEDD,Friday
FISHER,Thursday
ZEDS DEAD,Sunday
DOMINIC FIKE,Sunday
LABRINTH,Thursday
PIERCE THE VEIL,Sunday
FAYE WEBSTER,Friday
VICTORIA MONÉT,Friday
SEXYY RED,Friday
TEDDY SWIMS,Sunday
BENSON BOONE,Thursday
JUNGLE,Thursday
TWO DOOR CINEMA CLUB,Sunday
IVE,Saturday
KILLER MIKE,Saturday
VINCE STAPLES,Sunday
KESHA,Thursday
TV GIRL,Saturday
GALANTIS,Friday
MOCHAKK,Thursday
BLACK TIGER SEX MACHINE,Sunday
HIPPO CAMPUS,Saturday
FOUR TET,Saturday
LOUD LUXURY,Friday
KEVIN ABSTRACT,Friday
ETHEL CAIN,Saturday
SKREAM & BENGA,Saturday
CHAPPELL ROAN,Thursday
WHYTE FANG (ALISON WONDERLAND),Sunday
RAYE,Friday
BLINK-182,Sunday
MEGAN MORONEY,Friday
SIR,Sunday
BEN BÖHMER,Sunday
CANNONS,Saturday
TEEZO TOUCHDOWN,Sunday
DON DIABLO,Thursday
THE LAST DINNER PARTY,Sunday
D4VD,Thursday
RUEL,Friday
WALKER & ROYCE,Thursday
KENNY BEATS,Saturday
TYLA,Thursday
ALOK,Friday
THE JAPANESE HOUSE,Thursday
QVEEN HERBY,Friday
BRISTON MARONEY,Saturday
WATERPARKS,Sunday
BOYWITHUKE,Saturday
ROMY,Saturday
YOASOBI,Saturday
KASBO,Thursday
VEEZE,Friday
FLO,Thursday
MERSIV,Sunday
IN THIS MOMENT,Friday
DADI FREYR,Thursday
CULTS,Sunday
THE KILLERS,Saturday
OLIVIA DEAN,Thursday
SAM BARBER,Thursday
NOIZU,Friday
GRENTPEREZ,Sunday
BIGXTHAPLUG,Thursday
GOOD KID,Sunday
HOL!,Sunday
WILDERADO,Friday
ELYANNA,Thursday
FRIDAYY,Sunday
JOSIAH AND THE BONNEVILLES,Saturday
SAINT LEVANT,Thursday
RYAN BEATTY,Friday
FUTURE,Saturday
MALCOLM TODD,Friday
DESTROY BOYS,Saturday
LOLA YOUNG,Friday
LEISURE,Saturday
EYEDRESS,Saturday
SLOW PULP,Sunday
IT'S MURPH,Friday
GEESE,Friday
TANNER USREY,Saturday
QUARTERS OF CHANGE,Saturday
GIOLI & ASSIA,Thursday
KNOX,Sunday
METRO BOOMIN,Saturday
JESSICA AUDIFFRED,Sunday
NICO VEGA,Sunday
MATT HANSEN,Thursday
NATALIE JANE,Saturday
BLONDSHELL,Thursday
WISP,Friday
DORA JAR,Saturday
MEDIUM BUILD,Sunday
MILITARIE GUN,Friday
MIMI WEBB,Sunday
NIA ARCHIVES,Saturday
JYOTY,Saturday
ARMANI WHITE,Saturday
FRIKO,Saturday
BRISCOE,Sunday
BLU DETIGER,Friday
TREATY OAK REVIVAL,Sunday
FLESHWATER,Thursday
VCHA,Friday
SPINALL,Thursday
WILLIS,Sunday
PAWPAW ROD,Friday
BRENN!,Thursday
TINY HABITS,Friday
HAPPY LANDING,Saturday
HOZIER,Thursday
QUANNNIC,Thursday
THE NATIONAL PARKS,Friday
BRANDI CYRUS,Thursday
DASHA,Saturday
HANABIE.,Sunday
TWINSICK,Friday
STRAY KIDS,Friday
POST SEX NACHOS,Sunday
RIOVAZ,Thursday
NOSTALGIX,Sunday
AHADADREAM,Saturday
WORRY CLUB,Thursday
METTE,Thursday
VALENCIA GRACE,Sunday
BEEN STELLAR,Thursday
XANDRA,Friday
SCARLET DEMORE,Sunday
EDDIE,Sunday
GUDFELLA,Friday
BRIGITTE CALLS ME BABY,Saturday
SUNDIAL,Friday
GODLY THE RULER,Friday
INFINITY SONG,Saturday
KYLE DION,Sunday
MELANIE MARTINEZ,Sunday
TOMMY RICHMAN,Friday
ABBY HOLLIDAY,Thursday
CAMDEN COX,Thursday
CHANCE EMERSON,Thursday
SAM NELSON,Saturday
SKRILLEX,Saturday
KAITLIN BUTTS,Sunday
WILL LINLEY,Saturday
WOLVES OF GLENDALE,Thursday
RYAN TREY,Sunday
HAYES WARNER,Saturday
HUDDY,Sunday
TOMMY NEWPORT,Saturday
ADAN DIAZ,Thursday
WALTER THE PRODUCER,Thursday
CARMEN DELEON,Sunday
NIGHTLY,Saturday
AVA MAYBEE,Friday
GOLDIE BOUTILIER,Thursday
MCKENNA GRACE,Friday
CALE TYSON,Friday
KALIII,Friday
SAVANNAH RE,Saturday
FIFTEENOEIGHT,Friday
