SZA,Friday,"pop, r&b, rap"
"TYLER, THE CREATOR",Thursday,"hip hop, rap"
DEFTONES,Saturday,"alternative metal, nu metal, rap metal, rock, sacramento indie"
TATE MCRAE,Saturday,pop
LAUFEY,Friday,gen z singer-songwriter
CONAN GRAY,Sunday,"bedroom pop, pop, pov: indie"
RENEÉ RAPP,Friday,"alt z, singer-songwriter pop"
LIZZY MCALPINE,Thursday,"alt z, boston folk, indie pop, singer-songwriter pop"
ZEDD,Friday,"pop dance, pop, german techno, edm, complextro"
FISHER,Thursday,"australian house, deep groove house, house"
ZEDS DEAD,Sunday,"brostep, canadian electronic, dubstep, edm, electro house, progressive electro house"
DOMINIC FIKE,Sunday,"auckland indie, indie soul"
LABRINTH,Thursday,"indie poptimism, pop"
PIERCE THE VEIL,Sunday,"modern rock, pop punk, screamo"
FAYE WEBSTER,Friday,"atlanta indie, indie pop"
VICTORIA MONÉT,Friday,"alternative r&b, r&b"
SEXYY RED,Friday,trap queen
TEDDY SWIMS,Sunday,"singer-songwriter pop, neo soul, modern alternative rock"
BENSON BOONE,Thursday,singer-songwriter pop
JUNGLE,Thursday,"indie pop, indietronica, modern dream pop, pov: indie, vapor soul"
TWO DOOR CINEMA CLUB,Sunday,"auckland indie, indie soul"
IVE,Saturday,"k-pop, k-pop girl group"
KILLER MIKE,Saturday,"auckland indie, indie soul"
VINCE STAPLES,Sunday,"conscious hip hop, hip hop, rap, underground hip hop"
KESHA,Thursday,"dance pop, pop"
TV GIRL,Saturday,pov: indie
GALANTIS,Friday,"dance pop, edm, pop, pop dance, progressive electro house"
MOCHAKK,Thursday,"dutch house, edm, electro house, future house, pop dance, progressive electro house"
BLACK TIGER SEX MACHINE,Sunday,"brostep, canadian electronic, dubstep, electro trash"
HIPPO CAMPUS,Saturday,"modern rock, pov: indie"
FOUR TET,Saturday,"electronica, folktronica, indietronica, intelligent dance music, trip hop"
LOUD LUXURY,Friday,"uk contemporary r&b, uk pop"
KEVIN ABSTRACT,Friday,"afrofuturism, lgbtq+ hip hop"
ETHEL CAIN,Saturday,"countrygaze, indie pop, modern dream pop"
SKREAM & BENGA,Saturday,"classic dubstep, uk bass"
CHAPPELL ROAN,Thursday,"indie pop, pov: indie"
WHYTE FANG (ALISON WONDERLAND),Sunday,"aussietronica, edm, electra, electronic trap, escape room, indietronica"
RAYE,Friday,"uk contemporary r&b, uk pop"
BLINK-182,Sunday,"brostep, canadian electronic, dubstep, edm, electro house, progressive electro house"
MEGAN MORONEY,Friday,"contemporary country, modern country pop"
SIR,Sunday,"alternative r&b, la pop"
BEN BÖHMER,Sunday,melodic house
CANNONS,Saturday,"nashville indie, pov: indie"
TEEZO TOUCHDOWN,Sunday,indie hip hop
DON DIABLO,Thursday,"dutch house, edm, electro house, future house, pop dance, progressive electro house"
THE LAST DINNER PARTY,Sunday,"indie pop, pov: indie, indie rock"
D4VD,Thursday,bedroom pop
RUEL,Friday,"alt z, australian alternative pop, singer-songwriter pop"
WALKER & ROYCE,Thursday,"icelandic pop, sunnlensk tonlist"
KENNY BEATS,Saturday,"indie hip hop, trap, underground hip hop"
TYLA,Thursday,"afrobeats, r&b, alternative r&b"
ALOK,Friday,"dance pop, edm, electro house, moombahton, pop, pop dance"
THE JAPANESE HOUSE,Thursday,"indie pop, indietronica, modern dream pop, pov: indie, vapor soul"
QVEEN HERBY,Friday,trap queen
BRISTON MARONEY,Saturday,"nashville indie, pov: indie"
WATERPARKS,Sunday,"neon pop punk, pixie, pop punk, pov: indie, texas pop punk"
BOYWITHUKE,Saturday,indie pop
ROMY,Saturday,"electronica, indietronica, art pop"
YOASOBI,Saturday,"j-pop, japanese teen pop"
KASBO,Thursday,modern indie pop
VEEZE,Friday,"indie hip hop, indie r&b"
FLO,Thursday,viral rap
MERSIV,Sunday,experimental bass
IN THIS MOMENT,Friday,"alternative metal, nu metal, post-grunge"
DADI FREYR,Thursday,"icelandic pop, sunnlensk tonlist"
CULTS,Sunday,"experimental pop, indie surf, pov: indie"
THE KILLERS,Saturday,"alternative rock, dance rock, modern rock, permanent wave, rock"
OLIVIA DEAN,Thursday,pop soul
SAM BARBER,Thursday,"icelandic pop, sunnlensk tonlist"
NOIZU,Friday,"hyperpop, proto-hyperpop"
GRENTPEREZ,Sunday,bedroom r&b
BIGXTHAPLUG,Thursday,"icelandic pop, sunnlensk tonlist"
GOOD KID,Sunday,"pov: indie, lo-fi rap, indie rockism"
HOL!,Sunday,"dubstep, gaming dubstep"
WILDERADO,Friday,"indie folk, stomp and holler"
ELYANNA,Thursday,palestinian pop
FRIDAYY,Sunday,"afrobeats, indie r&b, pop r&b"
JOSIAH AND THE BONNEVILLES,Saturday,"modern folk rock, stomp and holler"
SAINT LEVANT,Thursday,palestinian hip hop
RYAN BEATTY,Friday,bedroom soul
FUTURE,Saturday,"atl hip hop, hip hop, rap, southern hip hop, trap"
MALCOLM TODD,Friday,"bedroom r&b, chill abstract hip hop, modern indie pop"
DESTROY BOYS,Saturday,"pov: indie, oakland indie"
LOLA YOUNG,Friday,uk pop
LEISURE,Saturday,"auckland indie, indie soul"
EYEDRESS,Saturday,"noise pop, pov: indie"
SLOW PULP,Sunday,"bubblegrunge, chicago indie, countrygaze, midwest shoegaze, nu gaze"
IT'S MURPH,Friday,stutter house
GEESE,Friday,crank wave
TANNER USREY,Saturday,"classic texas country, red dirt, texas country"
QUARTERS OF CHANGE,Saturday,nyc indie rock
GIOLI & ASSIA,Thursday,"melodic house, progressive house, italian techno"
KNOX,Sunday,singer-songwriter pop
METRO BOOMIN,Saturday,rap
JESSICA AUDIFFRED,Sunday,"dubstep, mexican edm"
NICO VEGA,Sunday,indie rock
MATT HANSEN,Thursday,"gen z singer-songwriter, singer-songwriter pop"
NATALIE JANE,Saturday,singer-songwriter pop
BLONDSHELL,Thursday,"bubblegrunge, indie pop"
WISP,Friday,zoomergaze
DORA JAR,Saturday,indie pop
MEDIUM BUILD,Sunday,alaska indie
MILITARIE GUN,Friday,"5th wave emo, california hardcore, modern melodic hardcore"
MIMI WEBB,Sunday,"alt z, gen z singer-songwriter, uk pop"
NIA ARCHIVES,Saturday,"indie hip hop, trap, underground hip hop"
JYOTY,Saturday,nagpuri pop
ARMANI WHITE,Saturday,indie hip hop
FRIKO,Saturday,"crank wave, slacker rock, lo-fi indie"
BRISCOE,Sunday,austindie
BLU DETIGER,Friday,indie pop
TREATY OAK REVIVAL,Sunday,"modern country pop, texas country"
FLESHWATER,Thursday,palestinian hip hop
VCHA,Friday,5th gen k-pop
SPINALL,Thursday,"bubblegrunge, indie pop"
WILLIS,Sunday,alabama indie
PAWPAW ROD,Friday,"indie hip hop, indie r&b"
BRENN!,Thursday,singer-songwriter pop
TINY HABITS,Friday,boston folk
HAPPY LANDING,Saturday,"stomp and holler, indiecoustica, mississippi indie"
HOZIER,Thursday,"irish singer-songwriter, modern rock, pop, pov: indie"
QUANNNIC,Thursday,modern indie pop
THE NATIONAL PARKS,Friday,"folk-pop, stomp and holler, utah indie"
BRANDI CYRUS,Thursday,"dutch house, edm, electro house, future house, pop dance, progressive electro house"
DASHA,Saturday,alt z
HANABIE.,Sunday,japanese metalcore
TWINSICK,Friday,"pop edm, pop dance, edm"
STRAY KIDS,Friday,"k-pop, k-pop boy group, pop"
POST SEX NACHOS,Sunday,"pov: indie, jacksonville indie, nashville indie"
RIOVAZ,Thursday,bedroom r&b
NOSTALGIX,Sunday,bassline
AHADADREAM,Saturday,"hyperpop, proto-hyperpop"
WORRY CLUB,Thursday,modern indie pop
METTE,Thursday,modern indie folk
VALENCIA GRACE,Sunday,"alt z, singer-songwriter pop, gen z singer-songwriter"
BEEN STELLAR,Thursday,modern indie pop
XANDRA,Friday,"stutter house, house, vapor soul"
SCARLET DEMORE,Sunday,chicago pop punk
EDDIE,Sunday,dark clubbing
GUDFELLA,Friday,"tech house, pop edm, bass house"
BRIGITTE CALLS ME BABY,Saturday,"crank wave, uk post-punk revival, american post-punk"
SUNDIAL,Friday,"singer-songwriter pop, gen z singer-songwriter, alt z"
GODLY THE RULER,Friday,"hyperpop, modern alternative pop, boston hip hop"
INFINITY SONG,Saturday,"alternative r&b, indie soul, modern indie pop"
KYLE DION,Sunday,alternative r&b
MELANIE MARTINEZ,Sunday,"alt z, electropop, pop"
TOMMY RICHMAN,Friday,chill abstract hip hop
ABBY HOLLIDAY,Thursday,modern indie folk
CAMDEN COX,Thursday,stutter house
CHANCE EMERSON,Thursday,modern indie folk
SAM NELSON,Saturday,"acoustic pop, indie poptimism, alt z"
SKRILLEX,Saturday,"brostep, complextro, edm, electro, pop dance"
KAITLIN BUTTS,Sunday,"classic texas country, red dirt, texas country"
WILL LINLEY,Saturday,singer-songwriter pop
WOLVES OF GLENDALE,Thursday,"comic, pov:indie, minneapolis indie"
RYAN TREY,Sunday,trap soul
HAYES WARNER,Saturday,"alt z, social media pop, singer-songwriter pop"
HUDDY,Sunday,social media pop
TOMMY NEWPORT,Saturday,kansas indie
ADAN DIAZ,Thursday,"lo-fi rap, bedroom pop, modern indie pop"
WALTER THE PRODUCER,Thursday,"chill abstract hip hop, indie r&b, modern indie pop"
CARMEN DELEON,Sunday,urbano latino
NIGHTLY,Saturday,hopebeat
AVA MAYBEE,Friday,"gen z singer-songwriter, indie pop, alt z"
GOLDIE BOUTILIER,Thursday,proto-hyperpop
MCKENNA GRACE,Friday,"alt z, singer-songwriter pop, gen z singer-songwriter"
CALE TYSON,Friday,roots americana
KALIII,Friday,"rap, viral rap"
SAVANNAH RE,Saturday,"alternative r&b, canadian contemporary r&b"
FIFTEENOEIGHT,Friday,"glitchcore, hyperpop"
